site,log_id,species,approx_1_m3,approx_2_m3,prefire_vol_m3,vol_init_m3,length_init_m,x_sect_corr_m,fire_vol_reduction_m3,fire_reduction_perc,notes,,,,,,,,,,,
6,511,THPL,0.622174099,0.581559589,1.056534723,1.5556,5.51,0.675,0.474975134,44.95594167,50 CM DIAM HAD HOLLOW 16 CM; ASSUME LENGTH OF 2.02 M,,,,,,,,,,,
6,512,PSME,0.712018413,0.712018413,1.1221847,1.2623,5.44,0,0.410166287,36.55069322,,,,,,,,,,,,
6,513,TSHE,0.064512605,0.064512605,1.268816018,1.5846,5.44,0.375,1.204303413,94.91552722,,,,,,,,,,,,
6,514,PSME,0.411099652,0.411099652,1.212947508,1.5537,5.54,0.675,0.801847856,66.10738314,,,,,,,,,,,,
6,515,ABAM,0.078047633,0.078047633,0.6233874,0.9154,5.58,0,0.545339767,87.48007523,,,,,,,,,,,,
6,516,THPL,0.712951335,0.670477002,0.93684315,1.3361,5.58,0.525,0.266366148,28.43230989,HOLLOW IN 0.8 M OF MIDDLE DIAMETER 26 DIAM HOLLOW,,,,,,,,,,,
6,517,THPL,0.786450597,0.786450597,0.9220662,1.1913,5.41,0,0.135615603,14.70779463,,,,,,,,,,,,
6,518,ABAM,0,0,0.7533222,1.1062,5.5,0.525,0.7533222,100,,,,,,,,,,,,
6,519,TSHE,0.305293298,0.305293298,0.833584,1.1024,5.59,0.675,0.528290702,63.37582077,,,,,,,,,,,,
6,520,TSHE,0.134536349,0.164774179,1.401818942,1.7346,6.22,0.375,1.237044764,88.24568755,"TWO PIECES: 43 DIAM, 1.03 LONG; 15 DIAM 0.86 LONG",,,,,,,,,,,
6,521,THPL,0.264009656,0.223151253,0.611293195,0.8478,5.48,0.375,0.388141941,63.49521716,"FOUR PIECES: 31 SOLID 17 HOLLOW,0.35 LONG;36 DIAM,1.33 LONG;55x10 DIAM, 0.55 LONG;44x16, 0.68 LONG",,,,,,,,,,,
6,522,PSME,0.805262192,0.805262192,1.2272645,1.3805,5.54,0,0.422002308,34.38560376,,,,,,,,,,,,
6,523,PSME,0.683301638,0.683301638,0.902990877,1.0892,5.56,0.375,0.219689239,24.32906519,,,,,,,,,,,,
6,524,TSHE,0.122181774,0.122181774,0.960018,1.1163,5.49,0,0.837836226,87.27297048,,,,,,,,,,,,
6,525,TSHE,0.450114305,0.450114305,0.997686,1.1601,5.53,0,0.547571695,54.88417143,,,,,,,,,,,,
6,526,THPL,0.029028316,0.029028316,0.97005161,1.3472,5.38,0.375,0.941023294,97.00754931,,,,,,,,,,,,
6,527,THPL,0.301263028,0.301263028,0.7398666,0.9559,5.53,0,0.438603573,59.28143972,,,,,,,,,,,,
6,528,ABAM,0,0,0.7898919,1.1599,5.55,0,0.7898919,100,,,,,,,,,,,,
5,361,PSME,0.827307009,0.786119159,1.169513416,1.4105,5.57,0.375,0.383394257,32.78237358,"SIX PIECES:49x43 DIAM, 0.95 LONG;39x32 DIAM, 0.85 LONG; 44x52 D, 0.78 L; 45 D 0.89 L; 33 D, 0.56 L; 50 D, 1.10 L",,,,,,,,,,,
5,362,THPL,0.645893582,0.733639639,1.0474542,1.3533,5.48,0,0.313814561,29.95974058,"THREE SEGMENTS MEASURED: 46x41 D, 0.64 L; 55x23 D, 1.95 L; 44x46, 49 D, 2.8 L",,,,,,,,,,,
5,363,TSHE,0.126169782,0.217641585,0.887004,1.0314,5.55,0,0.669362416,75.46329165,"MEASURED IN 2 SEGMENTS: 25x33, 24x16, 25x15 DIAMS, 2.8 LENGTH; 48x16 DIAM, 0.58 LENGTH",,,,,,,,,,,
5,364,PSME,1.195250341,1.195250341,1.3995527,1.5743,5.52,0,0.204302359,14.59768961,,,,,,,,,,,,
5,365,PSME,0.767504044,0.764667579,1.5408148,1.7332,5.5,0,0.776147221,50.37251856,"MEASURED IN TWO SECTIONS: 48X47 DIAM, 2 LENGTH; 47 AND 45 DIAMS,2.47 LENGTH",,,,,,,,,,,
5,366,THPL,0.338717095,0.338717095,0.9978408,1.2892,5,0,0.659123705,66.05499644,,,,,,,,,,,,
5,367,ABAM,0.025960116,0.025960116,0.622434,0.914,5.45,0.675,0.596473884,95.82925804,ONE SMALL PIECE,,,,,,,,,,,
5,368,TSHE,0.023496664,0.023496664,0.763938,0.8883,5.5,0,0.740441336,96.92427078,ONE PIECE,,,,,,,,,,,
5,369,TSHE,0.000942478,0.000942478,0.968876,1.1266,5.6,0,0.967933522,99.90272462,ONE PIECE,,,,,,,,,,,
5,370,ABAM,0,0,0.7880532,1.1572,5.56,0,0.7880532,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,371,TSHE,0.062051691,0.040787297,0.953568,1.1088,5.53,0,0.912780703,95.72266504,"TWO PIECES: 32x14 DIAM, 0.53 LENGTH; 26, 18x18 DIAMS, 0.87 LENGTH",,,,,,,,,,,
5,372,PSME,0.775534348,0.775534348,1.0892917,1.2253,5.5,0,0.313757352,28.80379536,ONE PIECE,,,,,,,,,,,
5,373,THPL,0.183259572,0.091231851,1.3942836,1.8014,5.55,0,1.303051749,93.4567221,"TWO PIECES: 20x7, 24x10, 45x18 DIAMS, 2.95 LENGTH; 36x8,20x6 DIAMS, 1.05 LENGTH",,,,,,,,,,,
5,374,PSME,0.073909894,0.097116054,0.966651734,1.1666,5.52,0.375,0.869535681,89.95335649,"THREE PIECES: 37x28 DIAM,0.91 LENGTH; 27x18 DIAM, 0.41 LENGTH; 15x14 DIAM, 0.45 LENGTH",,,,,,,,,,,
5,375,TSHE,0.014673409,0.016498859,1.401972,1.6302,5.62,0,1.385473141,98.82316771,"TWO PIECES: 11x8 DIAM, 1.89 LENGTH; 7x5 DIAM, 1.25 LENGTH",,,,,,,,,,,
5,376,TSHE,0.581731189,0.591199828,1.17648,1.368,5.5,0,0.585280172,49.74841662,"ONE PIECE 4 DIAMETERS; need to check in field- middle diameters too large;new measures 69X 16 D, 0.81 l end; 46X 13 D, 0.93 l; 39X19 D 0.8 l; 42X5 D, 0.37 L; 59X29 d, 0.87 mid; 74X33 d, 1.4 l; 47X18 d, 0.59 l end",,,,,,,,,,,
5,377,ABAM,0,0,0.8153613,1.1973,5.58,0.675,0.8153613,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,378,PSME,0.298303062,0.307840894,0.992045912,1.2325,5.55,0.525,0.684205018,68.96908798,"SIX PIECES: 33x22 DIAM, 0.58 LENGTH; 37x32, 0.43 LENGTH; 37x39 DIAM, 0.4 LENGTH; 36x31 DIAM, 0.46 LENGTH; 35x38 DIAM, 0.42 LENGTH; 40 DIAM, 0.78 LENGTH",,,,,,,,,,,
5,379,PSME,0.44370598,0.412804691,0.7776972,0.8748,5.5,0,0.364892509,46.91961197,"TWO PIECES: 32, 35x31, 35x26 DIAM, 3.26 LENGTH; 38x36,32x30 DIAMS, 2.1 LENGTH",,,,,,,,,,,
5,380,PSME,0.277341239,0.238460234,0.853486471,1.0303,5.5,0.375,0.615026236,72.06045527,"FIVE PIECES: 35x31 d, 0.37 L; 27x25 D, 0.64 L; 40x32 D, 0.88 L; 42x 30 D, 0.75 L; 14 D 0.67 L",,,,,,,,,,,
5,381,TSHE,0.194520872,0.183543624,1.219678593,1.5214,5.53,0.375,1.036134969,84.95147617,"SIX PIECES: 33x13 D, 0.43; 28x20 D, 0.42 L; 22x10 D, 0.43 l; 48x31 D, 0.48 L; 42x33 D, 0.54 L; 10x8 D, 0.45 L",,,,,,,,,,,
5,382,THPL,0.217790911,0.249789603,0.718776973,1.0251,5.58,0.525,0.46898737,65.24796812,"FIVE PIECES: 30d, 0.4 l;.37X34 d 0.89 l; 31 d, 0.28l; 38X30 d, 0.83 l; 34 d, 0.42 l",,,,,,,,,,,
5,383,ABAM,0,0,0.7764081,1.1401,5.54,0,0.7764081,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,384,THPL,0.110100256,0.105725285,1.3479984,1.7416,5.55,0,1.242273115,92.15686868,"TWO PIECES, ONE HOLLOW: 22x10, 26x10 D, 1.5 L; 48-34 D, 0.86 L",,,,,,,,,,,
5,385,TSHE,0.04471517,0.042851324,1.163865892,1.4514,5.55,0.375,1.121014568,96.3181906,"TWO PIECES: 22x16 D, 0.8 L; 40x15 D, 0.44 L",,,,,,,,,,,
5,386,PSME,0.408540563,0.408540563,0.923485118,1.1148,5.5,0.375,0.514944556,55.76100203,ONE PIECE,,,,,,,,,,,
5,387,THPL,0.583562616,0.499309686,0.8565858,1.1067,5.55,0,0.357276114,41.70932022,"TWO PIECES, ONE HOLLOW: 33, 37 D, 4.65 L; 40-28 D, 0.81 L",,,,,,,,,,,
5,388,TSHE,0,0,0.961136,1.1176,5.54,0.375,0.961136,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,389,THPL,0.660045344,0.660045344,0.9194346,1.1879,5.55,0,0.259389256,28.21182235,,,,,,,,,,,,
5,390,ABAM,0.084815671,0.084815671,0.996984,1.464,5.59,0,0.912168329,91.49277508,RESINY CORE LEFT,,,,,,,,,,,
5,391,PSME,0.489252005,0.646792666,1.1585448,1.3032,5.5,0,0.511752134,44.17197623,"THREE PARTS: 34x53 D,2.18 l, 32x27 D, 1.1 L; 40 D, 2.17 L",,,,,,,,,,,
5,392,TSHE,0.182600753,0.253137601,1.151282,1.3387,5.75,0,0.8981444,78.01254597,"TWO PARTS: 34x32, 46x36 D, 1.63 L; 25x17, 26x22 D, 2.04 L",,,,,,,,,,,
5,393,ABAM,0,0,0.610176,0.896,5.84,0,0.610176,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,394,ABAM,0.032590882,0.032590882,0.863812785,1.3609,5.52,0.375,0.831221902,96.22708962,ONE PIECE,,,,,,,,,,,
5,395,TSHE,0.175878792,0.261516615,0.8612255,1.0747,5.5,0.375,0.599708886,69.63436237,"THREE PIECES: 56x21 D 1.97 L; 16x13 D, 0.6 L; 35x27, 19*17 DS, 1.98 L",,,,,,,,,,,
5,396,TSHE,0.091223997,0.091223997,0.790942,0.9197,5.56,0,0.699718003,88.46641136,,,,,,,,,,,,
5,397,THPL,0.605070745,0.605070745,1.0062774,1.3001,5.52,0,0.401206655,39.87038315,,,,,,,,,,,,
5,398,TSHE,0.230836636,0.272672744,0.992745502,1.2752,5.54,0.525,0.720072758,72.53346975,"FOUR PIECES: 22x18, 27x35, 35x24 D, 3.02; 24x17, 29x26 D, 1.03; 27x23 D, 0.97 L; 22x13 D, 0.55 L",,,,,,,,,,,
5,399,PSME,0.088674594,0.094681319,0.950333538,1.1809,5.54,0.525,0.855652219,90.03704325,"THREE PIECES: 39x32 D, 0.42 L; 34x16 D, 0.94 L; 25x17 D. 0.4 L",,,,,,,,,,,
5,400,ABAM,0,0,0.9416868,1.3828,5.49,0,0.9416868,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,401,ABAM,0,0,0.8758341,1.2861,5.52,0,0.8758341,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,402,PSME,0.647233537,0.647233537,1.3732383,1.5447,5.56,0,0.726004764,52.86808295,,,,,,,,,,,,
5,403,PSME,0.167826367,0.208974816,1.132007829,1.3658,5.54,0.375,0.923033013,81.53945486,"THREE PIECES: 39x37 D, 1.25 L; 30 D, 0.33 L; 40 D, 0.35 L",,,,,,,,,,,
5,404,TSHE,0,0,1.11413,1.2955,5.55,0,1.11413,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,405,ABAM,0,0,0.6182118,0.9078,5.54,0,0.6182118,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,406,TSHE,0.335279931,0.335279931,0.80969,0.9415,5.5,0,0.474410069,58.59156826,,,,,,,,,,,,
5,407,PSME,0.371790474,0.371790474,0.8941562,1.0058,5.55,0,0.522365726,58.41996358,,,,,,,,,,,,
5,408,TSHE,0.030573045,0.030573045,0.691232025,0.8874,5.57,0.525,0.66065898,95.57702134,ONE PIECE,,,,,,,,,,,
5,409,ABAM,0,0,0.9330381,1.3701,5.55,0,0.9330381,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,410,TSHE,0.108573442,0.108573442,1.279852,1.4882,5.5,0,1.171278558,91.51671896,,,,,,,,,,,,
5,411,ABAM,0,0,0.9781884,1.4364,5.56,0,0.9781884,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,412,TSHE,0.175748416,0.146325176,1.144574,1.3309,5.56,0.525,0.998248824,87.21575227,"TWO PIECES: 57x34 D, 0.82; 43x13, 0.49 L",,,,,,,,,,,
5,413,TSHE,0.075440137,0.093269959,0.98513,1.1455,5.6,0,0.891860041,90.5322182,"TWO PIECES: 21*17 D, 2.9 D; 29x5 D, 1.05",,,,,,,,,,,
5,414,TSHE,0.040380461,0.040380461,1.110094615,1.386,5.46,0.375,1.069714154,96.36243068,ONE PIECE,,,,,,,,,,,
5,415,PSME,0.458166656,0.495986009,1.130332265,1.3636,5.55,0.375,0.634346256,56.12033522,"FOUR PIECES: 49x45 D, 1.05 L; 36 D, 1.2 L; 47x40 D, 0.66 L; 44x36 D, 0.76 L",,,,,,,,,,,
5,416,TSHE,0.136728396,0.074672516,1.046019955,1.3053,5.5,0.375,0.971347439,92.86127234,"THREE PIECES: 31x20 D, 0.84 L; 13x7 D, 0.6 L; 16x17 D, 1.38 l",,,,,,,,,,,
5,417,ABAM,0,0,1.0758438,1.5798,5.55,0.375,1.0758438,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,418,PSME,0.393568256,0.393568256,1.4389354,1.6186,5.55,0,1.045367144,72.64865013,,,,,,,,,,,,
5,419,TSHE,0.176125538,0.176125538,1.03071,1.1985,5.57,0,0.854584462,82.91221215,,,,,,,,,,,,
5,420,TSHE,0.357708546,0.282485728,1.231054818,1.5362,5.5,0.375,0.94856909,77.05335912,"TWO PIECES: 54x37, 47x34, 47x31 D, 2.0 L; 27x15 D, 0.62 L",,,,,,,,,,,
5,421,THPL,0.115289399,0.165865097,0.784103331,1.0859,5.59,0.375,0.618238234,78.8465257,"FOUR PIECES: 36x32 D, 0.8 L;22x2 D, 0.49 L; 31x29 D, 0.56 L; 37x29D, 0.62 L",,,,,,,,,,,
5,422,TSHE,0.539903642,0.539903642,0.981776,1.1416,5.56,0,0.441872359,45.00745165,,,,,,,,,,,,
5,423,PSME,0.673439655,0.673439655,1.2055729,1.3561,5.53,0,0.532133245,44.13944978,,,,,,,,,,,,
5,424,PSME,0.369110698,0.423315473,1.00052441,1.2428,5.56,0.525,0.577208938,57.69064018,"FOUR PIECES: 38x24 D,0.29; 45x39 D, 1.2 L; 35x21 D, 1.09 L; 46 D, 1.04 L",,,,,,,,,,,
5,425,PSME,0.569889096,0.569889096,1.3971524,1.5716,5.54,0,0.827263304,59.21067049,,,,,,,,,,,,
5,426,TSHE,0.003001792,0.003001792,1.011102,1.1757,5.5,0,1.008100208,99.70311682,,,,,,,,,,,,
5,427,THPL,0.263047516,0.166544374,0.780002018,1.1118,5.61,0.525,0.613457644,78.64821239,"THREE PIECES, ONE HOLLOW: 35x30, D 0.74 L; 51-26 D, 0.57 L; 29*25 D 0.34 L",,,,,,,,,,,
5,428,PSME,0.279621381,0.229781585,1.0304399,1.1591,5.52,0,0.800658316,77.70063208,"TWO PIECES 33, 31 D, 2.68 L; 13x9, 1.55 L",,,,,,,,,,,
5,429,TSHE,0.227113587,0.227113587,0.940496,1.0936,5.5,0,0.713382413,75.85172219,,,,,,,,,,,,
5,430,TSHE,0.029444577,0.073473998,1.36482,1.587,5.62,0,1.291346002,94.61657961,"THREE PIECES: 19x15 D, 1 L; 10x5 D, 0.41 L; 33x10 D, 1.35 L",,,,,,,,,,,
5,431,PSME,0.716564559,0.716564559,1.4088872,1.5848,5.54,0,0.692322641,49.13967851,,,,,,,,,,,,
5,432,THPL,0.096189284,0.099210858,0.799628543,1.1093,5.46,0.375,0.700417686,87.59288188,"FOUR PIECES, ONE HOLLOW: 33 D, 0.64 L; 37-22 D, 0.51 L; 23x35, 0.12 L; 13 x5 D 0.41 L",,,,,,,,,,,
5,433,PSME,0.93204496,0.93204496,1.1706352,1.3168,5.46,0,0.23859024,20.38126313,,,,,,,,,,,,
5,434,ABAM,0,0,0.747891133,1.1775,5.57,0.375,0.747891133,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,435,THPL,0.145956895,0.172305362,0.974797053,1.3918,5.52,0.525,0.802491692,82.32397596,"SIX PIECES: 38x14 D, 0.97 L; 19x36 D, 0.41 L; 25x14 D, 0.3 L; 41x10 D, 0.41 L; 21x11 D, 0.54 L; 46x15 D 1.44 L",,,,,,,,,,,
5,436,PSME,0.317473777,0.426080074,0.994920338,1.2004,5.54,0.375,0.568840264,57.17445327,"SEVEN PIECES: 41x13 D, 0.44 L; 56x16 D, 0.74 L; 32 D, 0.5 L; 33x35 D, 0.32 L; 34x23 D, 0.32 L; 34x23 D, 0.43 L; 36 D 1.41, L; 40 D 0.77 L",,,,,,,,,,,
5,437,PSME,0.581067014,0.581067014,0.9002903,1.0127,5.5,0,0.319223286,35.45781692,,,,,,,,,,,,
5,438,THPL,0.211020648,0.238110732,0.96155976,1.3729,5.52,0.525,0.723449028,75.23703239,"SEVEN PIECES: 52x33 D, 0.66 L; 40x15 D, 0.41 L; 37x15 D, 0.28 L; 37x15D, 0.56 L; 34x14 D, 0.46 L; 44 D, 0.5 L",,,,,,,,,,,
5,439,THPL,0.768688818,0.768688818,0.9304254,1.2021,5.58,0,0.161736583,17.38307902,,,,,,,,,,,,
5,440,ABAM,0,0,0.921816289,1.4519,5.54,0.375,0.921816289,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,441,ABAM,0.00069691,0.00069691,0.699673227,1.1013,5.59,0.375,0.698976317,99.90039494,,,,,,,,,,,,
5,442,THPL,0,0,0.722942922,0.9992,5.75,0.375,0.722942922,100,COMPLETELY COMBUSTED,,,,,,,,,,,
5,443,THPL,0.408743195,0.391539049,0.841652116,1.1659,5.57,0.375,0.450113068,53.47970485,"FIVE PIECES: 43x37 D,0.1 L; 41 D, 0.59 L; 40 D 1.05 L; 39 D, 1.2 L; 31x13 D, 0.78 L",,,,,,,,,,,
5,444,TSHE,0.154222878,0.169385251,0.96062,1.117,5.57,0,0.791234749,82.36709093,"TWO PIECES: 24, 19 D, 1.45 L; 27, 30 D, 1.83 L",,,,,,,,,,,
5,445,TSHE,0.313897466,0.313897466,0.832652,0.9682,5.5,0,0.518754534,62.30148177,,,,,,,,,,,,
5,446,THPL,0.278436739,0.196055017,1.161103579,1.6112,5.44,0.375,0.965048563,83.11476943,"SEVEN PIECES, ONE HOLLOW: 38x14 D, 0.46 L; 21X9 D, 0.22 L; 46x9 D, 0.64 L; 53x17 D 1.05 L; 48x15 D 0.71 L; 46x14 D 1.14 L; 46-21 D, 0.19 L",,,,,,,,,,,
5,447,PSME,0.664891905,0.664891905,1.1687683,1.3147,5.5,0,0.503876395,43.11174377,,,,,,,,,,,,
